,ss_username,cf_username,cf_rating,cc_username,cc_rating
8359,mohammad_saad,sa_ad,1067,executoner5440,1480
8360,kunalsrivastav,kunal_srivastav,802,kunal_srivast,1479
8361,si88hant,si88hant,864,si88hant,1479
8362,avinash_ujjain,avinash_ujjain,1116,avinash_ujjain,1479
8363,NibirJoydhar,nibirjoydhar,1174,nibirjoydhar,1479
8364,archit_akg,archit_akg,1197.3,archit_akg,1479
8365,Avess,avess,1197.3,avess_02,1479
8366,Abhijeetkns,abhijeetkns,1197.3,abhijeetkns,1479
8367,skaul05,skaul05,1051,skaul05,1478
8368,svr8,svr8,1106,svr8,1478
8369,ritikm04,ritikmathurmay,1220,ritikm04,1478
8370,HarryPotter2506,dhruv2506,1227,dhruv2506,1478
8371,anonymous27,_nan__,1406,thakur_5104,1478
8372,tushargupta4870,tushargupta4870,1196.4,tushar_gupta02,1478
8373,Rrdesh07,rrdesh07,1196.4,rrdesh_07,1478
8374,codehunter666,codehunter666,1196.4,chetan_1314,1478
8375,darshjain,darshj786,1196.4,darshjain,1478
8376,VatsalBhatt_11,vatsf_11,1196.4,vatsal_1111,1478
8377,mukund007,mukund007,885,mukund007,1477
8378,maraz_mia,maraj262000,980,maraz_mia,1477
8379,00arpit00,00arpit00,1039,arpit0000,1477
8380,atish1999,atish1999,1184,atish1999,1477
8381,natsu18,18bhupenderyadav,1414,bhupender18,1477
8382,Captainutkarsh007,captainutkarsh007,1195.6,captainutkarsh,1477
8383,Ash_Planet,zodiac_04,1195.6,rs2012,1477
8384,Art_ash_105,zvezda_5060,1195.6,art_01,1477
8385,gauravdalvi2012,gauravdalvi2012,1195.6,gauravdalvi20,1477
8386,Avinashz14,nithost16,768,nithost_16,1476
8387,rajan739133,raj739133,976,rajan739133,1476
8388,hridhon,hridhon,1179,hridhon,1476
8389,Pri4ce,rajkumar,1226,pri4ce,1476
8390,gourabb,from_bangladesh,1194.8,gourab19,1476
8391,madcoder,,1194.8,sudhatks,1476
8392,zihadboss,zihad18,888,zihadboss,1475
8393,vikash_kr,vikash_kr,965,vikash_kr,1475
8394,Z3RO_O,z3ro_o,1029,z3ro_o,1475
8395,kksingh715,gkkk,1108,gkkk,1475
8396,ArthiDa,arthi73,1161,arthida,1475
8397,badsha12,bafay,1273,badsha_faysal,1475
8398,thegiantkiller_9,reetik,1901,reetik1999,1475
8399,roslinmahmud,roslinmahmud,1193.9,roslinmahmud,1475
8400,_ria,_ria,1193.9,ria307,1475
8401,pulkit_287,pulkit_287,1193.9,pulkit_287,1475
8402,vasisi1379,mradulbohra,924,mradulbohra,1474
8403,turjo997,turjo97,951,turjo97,1474
8404,stopperbye,code_master19,979,code_master19,1474
8405,drjaat,drjaat,1077,drjaat,1474
8406,subhamskm,subhamskm,1256,subhamskm,1474
8407,ajit_garg,ajit_1,1193.1,ajit_1,1474
8408,piyushpky,99pky99,1193.1,piyushpky,1474
8409,nishantr,nishantr,831,rnishant,1473
8410,badhon_11,badhon11,999,judas11,1473
8411,abhi2k20,cpharderthandarksouls,1058,its_abhijeet,1473
8412,systemflaws,systemflaws,1058,systemflaws,1473
8413,Smriti_Gupta_22,smriti_gupta,1114,smriti_gupta22,1473
8414,Slow_Motion,slow_motion,1198,mdreaz,1473
